time (s),/YS<0> (V),/WENB (V),/WeightB (V),/RFS_ENB (V),/I0/VOUTB (V),/cmIn (V),/PRE (V),/WWL<0> (V),/RWL<0> (V),/I0/WBL (V),/I0/VRBL (V),/Vref (V),/VOUT (V)
0.000,1.200,0.000,0.000,1.200,212.7E-9,0.000,0.000,1.200,1.200,1.798,1.000,550.0E-3,93.38E-9
70.00E-12,1.200,0.000,0.000,1.200,212.7E-9,0.000,0.000,1.200,1.200,1.798,1.000,550.0E-3,93.38E-9
210.0E-12,1.200,0.000,0.000,1.200,212.7E-9,0.000,0.000,1.200,1.200,1.798,1.000,550.0E-3,93.38E-9
490.0E-12,1.200,0.000,0.000,1.200,212.7E-9,0.000,0.000,1.200,1.200,1.798,1.000,550.0E-3,93.38E-9
1.050E-9,1.200,0.000,0.000,1.200,212.7E-9,0.000,0.000,1.200,1.200,1.798,1.000,550.0E-3,93.38E-9
2.170E-9,1.200,0.000,0.000,1.200,212.7E-9,0.000,0.000,1.200,1.200,1.798,1.000,550.0E-3,93.38E-9
3.570E-9,1.200,0.000,0.000,1.200,212.7E-9,0.000,0.000,1.200,1.200,1.798,1.000,550.0E-3,93.38E-9
4.000E-9,1.200,0.000,0.000,1.200,212.7E-9,0.000,0.000,1.200,1.200,1.798,1.000,550.0E-3,93.38E-9
4.000E-9,1.200,10.01E-3,10.01E-3,1.200,52.47E-6,0.000,0.000,1.190,1.200,1.798,1.000,550.0E-3,12.29E-6
4.000E-9,1.200,30.02E-3,30.02E-3,1.200,14.45E-6,0.000,0.000,1.170,1.200,1.797,1.000,550.0E-3,971.2E-9
4.001E-9,1.200,70.06E-3,70.06E-3,1.200,-755.5E-6,0.000,0.000,1.130,1.200,1.791,1.000,550.0E-3,-162.6E-6
4.001E-9,1.200,123.0E-3,123.0E-3,1.200,-2.550E-3,0.000,0.000,1.077,1.200,1.776,1.000,550.0E-3,-447.9E-6
4.002E-9,1.200,184.6E-3,184.6E-3,1.200,-4.803E-3,0.000,0.000,1.015,1.200,1.754,1.000,550.0E-3,-655.6E-6
4.002E-9,1.200,272.3E-3,272.3E-3,1.200,-7.090E-3,0.000,0.000,927.7E-3,1.200,1.720,1.000,550.0E-3,-630.6E-6
4.003E-9,1.200,390.0E-3,390.0E-3,1.200,-8.139E-3,0.000,0.000,810.0E-3,1.200,1.676,1.000,550.0E-3,-308.3E-6
4.005E-9,1.200,546.5E-3,546.5E-3,1.200,-7.929E-3,0.000,0.000,653.5E-3,1.200,1.621,1.000,550.0E-3,-3.410E-6
4.007E-9,1.200,844.2E-3,844.2E-3,1.200,-8.416E-3,0.000,0.000,355.8E-3,1.200,1.505,1.000,550.0E-3,-50.49E-6
4.009E-9,1.200,1.022,1.022,1.200,-10.27E-3,0.000,0.000,177.9E-3,1.200,1.417,1.000,550.0E-3,-243.1E-6
4.009E-9,1.200,1.111,1.111,1.200,-11.57E-3,0.000,0.000,88.95E-3,1.200,1.365,1.000,550.0E-3,-310.5E-6
4.010E-9,1.200,1.200,1.200,1.200,-12.95E-3,0.000,0.000,0.000,1.200,1.309,1.000,550.0E-3,-348.0E-6
4.010E-9,1.200,1.200,1.200,1.200,-13.27E-3,0.000,0.000,0.000,1.200,1.302,1.000,550.0E-3,-389.2E-6
4.010E-9,1.200,1.200,1.200,1.200,-13.89E-3,0.000,0.000,0.000,1.200,1.288,1.000,550.0E-3,-457.7E-6
4.011E-9,1.200,1.200,1.200,1.200,-14.86E-3,0.000,0.000,0.000,1.200,1.262,1.000,550.0E-3,-510.7E-6
4.011E-9,1.200,1.200,1.200,1.200,-15.88E-3,0.000,0.000,0.000,1.200,1.223,1.000,550.0E-3,-458.2E-6
4.012E-9,1.200,1.200,1.200,1.200,-16.42E-3,0.000,0.000,0.000,1.200,1.169,1.000,550.0E-3,-257.7E-6
4.013E-9,1.200,1.200,1.200,1.200,-16.11E-3,0.000,0.000,0.000,1.200,1.106,1.000,550.0E-3,-17.76E-6
4.014E-9,1.200,1.200,1.200,1.200,-14.86E-3,0.000,0.000,0.000,1.200,1.027,1.000,550.0E-3,170.5E-6
4.016E-9,1.200,1.200,1.200,1.200,-12.32E-3,0.000,0.000,0.000,1.200,924.4E-3,1.000,550.0E-3,268.7E-6
4.019E-9,1.200,1.200,1.200,1.200,-8.555E-3,0.000,0.000,0.000,1.200,811.8E-3,1.000,550.0E-3,266.3E-6
4.023E-9,1.200,1.200,1.200,1.200,-4.495E-3,0.000,0.000,0.000,1.200,701.9E-3,1.000,550.0E-3,157.0E-6
4.027E-9,1.200,1.200,1.200,1.200,-2.742E-3,0.000,0.000,0.000,1.200,642.4E-3,1.000,550.0E-3,69.27E-6
4.030E-9,1.200,1.200,1.200,1.200,-1.784E-3,0.000,0.000,0.000,1.200,601.2E-3,1.000,550.0E-3,43.99E-6
4.035E-9,1.200,1.200,1.200,1.200,-1.167E-3,0.000,0.000,0.000,1.200,567.5E-3,1.000,550.0E-3,22.31E-6
4.040E-9,1.200,1.200,1.200,1.200,-772.1E-6,0.000,0.000,0.000,1.200,534.2E-3,1.000,550.0E-3,9.683E-6
4.047E-9,1.200,1.200,1.200,1.200,-557.8E-6,0.000,0.000,0.000,1.200,501.8E-3,1.000,550.0E-3,4.147E-6
4.056E-9,1.200,1.200,1.200,1.200,-438.4E-6,0.000,0.000,0.000,1.200,466.6E-3,1.000,550.0E-3,1.822E-6
4.068E-9,1.200,1.200,1.200,1.200,-350.2E-6,0.000,0.000,0.000,1.200,425.7E-3,1.000,550.0E-3,1.368E-6
4.086E-9,1.200,1.200,1.200,1.200,-265.9E-6,0.000,0.000,0.000,1.200,374.6E-3,1.000,550.0E-3,745.3E-9
4.115E-9,1.200,1.200,1.200,1.200,-177.6E-6,0.000,0.000,0.000,1.200,314.3E-3,1.000,550.0E-3,677.0E-9
4.144E-9,1.200,1.200,1.200,1.200,-132.2E-6,0.000,0.000,0.000,1.200,270.0E-3,1.000,550.0E-3,151.8E-9
